id,title,slug,tags
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,"['Linked List', 'Two Pointers']"
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,['Linked List']
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,"['Array', 'Stack', 'Monotonic Stack']"
85,Maximal Rectangle,maximal-rectangle,"['Array', 'Dynamic Programming', 'Stack', 'Matrix', 'Monotonic Stack']"
86,Partition List,partition-list,"['Linked List', 'Two Pointers']"
87,Scramble String,scramble-string,"['String', 'Dynamic Programming']"
88,Merge Sorted Array,merge-sorted-array,"['Array', 'Two Pointers', 'Sorting']"
89,Gray Code,gray-code,"['Math', 'Backtracking', 'Bit Manipulation']"
90,Subsets II,subsets-ii,"['Array', 'Backtracking', 'Bit Manipulation']"
91,Decode Ways,decode-ways,"['String', 'Dynamic Programming']"
92,Reverse Linked List II,reverse-linked-list-ii,['Linked List']
93,Restore IP Addresses,restore-ip-addresses,"['String', 'Backtracking']"
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,"['Stack', 'Tree', 'Depth-First Search', 'Binary Tree']"
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,"['Dynamic Programming', 'Backtracking', 'Tree', 'Binary Search Tree', 'Binary Tree']"
96,Unique Binary Search Trees,unique-binary-search-trees,"['Math', 'Dynamic Programming', 'Tree', 'Binary Search Tree', 'Binary Tree']"
97,Interleaving String,interleaving-string,"['String', 'Dynamic Programming']"
98,Validate Binary Search Tree,validate-binary-search-tree,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
99,Recover Binary Search Tree,recover-binary-search-tree,"['Tree', 'Depth-First Search', 'Binary Search Tree', 'Binary Tree']"
100,Same Tree,same-tree,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
101,Symmetric Tree,symmetric-tree,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,"['Tree', 'Breadth-First Search', 'Binary Tree']"
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,"['Tree', 'Breadth-First Search', 'Binary Tree']"
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,"['Array', 'Hash Table', 'Divide and Conquer', 'Tree', 'Binary Tree']"
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,"['Array', 'Hash Table', 'Divide and Conquer', 'Tree', 'Binary Tree']"
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,"['Tree', 'Breadth-First Search', 'Binary Tree']"
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,"['Array', 'Divide and Conquer', 'Tree', 'Binary Search Tree', 'Binary Tree']"
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,"['Linked List', 'Divide and Conquer', 'Tree', 'Binary Search Tree', 'Binary Tree']"
110,Balanced Binary Tree,balanced-binary-tree,"['Tree', 'Depth-First Search', 'Binary Tree']"
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
112,Path Sum,path-sum,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
113,Path Sum II,path-sum-ii,"['Backtracking', 'Tree', 'Depth-First Search', 'Binary Tree']"
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,"['Linked List', 'Stack', 'Tree', 'Depth-First Search', 'Binary Tree']"
115,Distinct Subsequences,distinct-subsequences,"['String', 'Dynamic Programming']"
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,"['Linked List', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,"['Linked List', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Tree']"
118,Pascal's Triangle,pascals-triangle,"['Array', 'Dynamic Programming']"
119,Pascal's Triangle II,pascals-triangle-ii,"['Array', 'Dynamic Programming']"
120,Triangle,triangle,"['Array', 'Dynamic Programming']"
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,"['Array', 'Dynamic Programming']"
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,"['Array', 'Dynamic Programming', 'Greedy']"
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,"['Array', 'Dynamic Programming']"
